year,cause_of_death,composition_effect,rate_effect,gap,composition_pct,rate_pct,csimr_black,csimr_white,composition_lo,composition_hi,rate_lo,rate_hi,gap_lo,gap_hi
2003,Congenital malformations,0.5205405793868518,-0.14515078778111207,0.37538979160573976,138.66668487713153,-38.66668487713151,1.6337630305777198,1.25837323897198,0.48985839598334924,0.5510014922759521,-0.2595390971125669,-0.031960975589113594,0.25974068290873104,0.49033587893539354
2003,Sudden unexpected infant death,0.10122957648172493,0.9203624974218483,1.021592073903573,9.909001750074255,90.09099824992576,1.8463278979969713,0.8247358240933983,0.08555422111420077,0.11714811052548947,0.8059341541386266,1.0367586659677188,0.9040120236632463,1.13801809711252
2003,Unintentional injuries,0.008327494115745394,0.0524396971218155,0.0607671912375609,13.703931259863914,86.29606874013608,0.18621385079703043,0.12544665955946951,0.003252243855235998,0.013247025866486588,0.013739128995487942,0.09155730149059897,0.021716540880690492,0.10065621792118201
2003,Assault (homicide),0.006107475543945109,0.08905825866646536,0.09516573421041047,6.417725449836327,93.58227455016367,0.15810609973332773,0.06294036552291724,0.002160992638174825,0.010490801484459024,0.05402231453679195,0.1213388678093604,0.057402589479767015,0.12858509680300126
2004,Infection,0.39791857802895425,0.13359751758766475,0.5315160956166189,74.86482183899315,25.13517816100686,0.8075214858395339,0.2760053902229149,0.37055857900747435,0.4261584606664188,0.06866098766708302,0.19846629885568706,0.45503238665556095,0.6093037892382274
2004,Other,1.306992367968863,0.3442332938310784,1.6512256617999415,79.15286191374702,20.847138086252983,2.7197043981954865,1.068478736395545,1.2551228922629984,1.3591166889782667,0.21502331960249918,0.45870776814638553,1.5094527555908386,1.7872804581688642
2004,Circulatory diseases,0.07926690658229599,0.04256517009150839,0.12183207667380438,65.06242752023901,34.937572479760995,0.24645136256141617,0.12461928588761184,0.06686343919931538,0.09099639809066934,0.0035690197223880184,0.08095976330462137,0.08075227507667065,0.16383209564701248
2004,Maternal complications,0.6706693315348099,0.03375533677334097,0.7044246683081509,95.20809842528475,4.791901574715252,1.01202368030539,0.30759901199723905,0.6334604420339741,0.7088010160891549,-0.034966017356027175,0.09694027202038298,0.6270216216677554,0.7896291497175567
2004,Placenta/cord/membranes,0.3401688350528184,-0.0644210251885433,0.2757478098642751,123.36229804336499,-23.36229804336497,0.4806675510949607,0.20491974123068565,0.31232690740149655,0.3661769248261363,-0.11876718036809764,-0.009947172077983698,0.21404607607860549,0.33448500251839075
2004,Short gestation/LBW,1.814956609365345,0.3178591754878938,2.1328157848532387,85.09673560439418,14.90326439560583,2.875265896549856,0.742450111696617,1.7499637852438268,1.8786316791478745,0.19930947523678363,0.4369498546068137,1.9942145973020546,2.280229365098237
2004,Hypoxia and birth asphyxia,0.08378525607157838,0.017562271296788078,0.10134752736836647,82.67123850693,17.328761493070008,0.21324160448576437,0.11189407711739795,0.0708679216388097,0.09643503785963592,-0.019234852682751977,0.05570038904574835,0.06201378677478263,0.14417099362520866
2004,Respiratory distress,0.3213268553131424,-0.00695729963010153,0.31436955568304087,102.21309586260196,-2.213095862601956,0.47891966909097905,0.16455011340793815,0.29539366179085863,0.34724178465821715,-0.05747471908242816,0.04105923310816505,0.2544659882365853,0.36942105974219436
2004,Hemorrhage,0.201885851494579,-0.05207302434566182,0.14981282714891717,134.75872215794988,-34.758722157949876,0.27092171061715964,0.12110888346824249,0.18246623615274757,0.22311476512619338,-0.09383890095777894,-0.011537791340383931,0.1051992104751585,0.19439498003914696
2004,Necrotizing enterocolitis,0.1422308348697729,0.04227649299322859,0.18450732786300147,77.08682170898963,22.913178291010375,0.26393018260123297,0.07942285473823149,0.12727287313564184,0.15848542447646224,0.00515205914921501,0.07979277339883686,0.14383759868590462,0.22866621616094102
