year,race,gestational_age_group,births,deaths,mortality_rate,birth_proportion
2007,Non-Hispanic Black,42+ weeks,32497,140,4.308089977536388,0.0521670591596957
2007,Non-Hispanic White,<28 weeks,12110,5076,419.15772089182497,0.00526315103244248
2007,Non-Hispanic White,28-31 weeks,20991,1045,49.7832404363775,0.009122939993559051
2007,Non-Hispanic White,32-33 weeks,30811,498,16.163058647885496,0.013390829600378634
2007,Non-Hispanic White,34-36 weeks,194531,1352,6.950049092432568,0.08454550235277193
2007,Non-Hispanic White,37-38 weeks,655270,1907,2.9102507363376926,0.28478818968031244
2007,Non-Hispanic White,39-41 weeks,1257627,2419,1.9234637933186867,0.5465797558610684
2007,Non-Hispanic White,42+ weeks,129563,322,2.485277432600357,0.05630963147946697
2008,Non-Hispanic Black,<28 weeks,10050,4292,427.06467661691545,0.01623481519772551
2008,Non-Hispanic Black,28-31 weeks,11513,591,51.333275427777295,0.018598151977255103
2008,Non-Hispanic Black,32-33 weeks,14629,273,18.66156264953175,0.023631752390798656
2008,Non-Hispanic Black,34-36 weeks,69895,601,8.598612204020316,0.11290869733781339
2008,Non-Hispanic Black,37-38 weeks,181346,768,4.234998290560586,0.2929471439648488
2008,Non-Hispanic Black,39-41 weeks,298752,988,3.307090831191088,0.48260532437322307
2008,Non-Hispanic Black,42+ weeks,32855,147,4.474204839446051,0.05307411475833549
2008,Non-Hispanic White,<28 weeks,11400,4739,415.70175438596493,0.005046592443391841
2008,Non-Hispanic White,28-31 weeks,20371,937,45.99676010014236,0.009017906549503088
2008,Non-Hispanic White,32-33 weeks,29833,555,18.603559816310796,0.013206578277518316
2008,Non-Hispanic White,34-36 weeks,184124,1359,7.380895483478525,0.08150866553044556
2008,Non-Hispanic White,37-38 weeks,618356,1848,2.9885696912458197,0.2737360278005268
2008,Non-Hispanic White,39-41 weeks,1265444,2396,1.8934065829858926,0.5601912392925917
2008,Non-Hispanic White,42+ weeks,129422,322,2.4879850411831064,0.057292990106022706
2009,Non-Hispanic Black,<28 weeks,9960,4060,407.6305220883534,0.01643672849693049
2009,Non-Hispanic Black,28-31 weeks,11356,594,52.30715040507221,0.01874051092481352
2009,Non-Hispanic Black,32-33 weeks,13892,237,17.06017852001152,0.02292560565053799
2009,Non-Hispanic Black,34-36 weeks,68266,597,8.745202589869042,0.11265760116179285
2009,Non-Hispanic Black,37-38 weeks,177752,763,4.292497412124758,0.2933394943560631
2009,Non-Hispanic Black,39-41 weeks,294219,931,3.1643095789191045,0.485541949963694
2009,Non-Hispanic Black,42+ weeks,30515,140,4.587907586432902,0.050358109446168066
2009,Non-Hispanic White,<28 weeks,11065,4437,400.9941256213285,0.0050197546512688205
2009,Non-Hispanic White,28-31 weeks,19592,937,47.82564311964067,0.008888118673986329
2009,Non-Hispanic White,32-33 weeks,28311,452,15.965525767369575,0.012843585533851927
2009,Non-Hispanic White,34-36 weeks,176237,1209,6.860080459835336,0.07995178495035365
2009,Non-Hispanic White,37-38 weeks,590878,1815,3.0717000802196055,0.268058074002026
2009,Non-Hispanic White,39-41 weeks,1252780,2293,1.8303293475310909,0.568336939179083
2009,Non-Hispanic White,42+ weeks,125428,311,2.479510157221673,0.056901743009430246
2010,Non-Hispanic Black,<28 weeks,9300,3616,388.81720430107526,0.015863214740167365
2010,Non-Hispanic Black,28-31 weeks,10854,532,49.0141883176709,0.01851390675158888
2010,Non-Hispanic Black,32-33 weeks,13341,199,14.916423056742373,0.022756037403072346
