year,cause_of_death,composition_effect,rate_effect,gap,composition_lo,composition_hi,rate_lo,rate_hi,gap_lo,gap_hi
2010,Maternal complications,0.5318590769769596,-0.10516229620822867,0.42669678076873085,0.5010871577858331,0.5631119900123347,-0.17374158122589534,-0.04145788116105472,0.35368509154795275,0.5004697335594029
2010,Placenta/cord/membranes,0.32490993490651277,-0.02051195113804215,0.3043979837684706,0.3014649100802083,0.3514986946831042,-0.07114253987496653,0.03298855218565823,0.2486888461376466,0.3653430566896096
2010,Short gestation/LBW,1.5457904538383502,0.28132038811462434,1.8271108419529747,1.48871047736036,1.601012286600834,0.1704277795751983,0.39732613669480643,1.6920591345945872,1.9683438412514631
2010,Hypoxia and birth asphyxia,0.06786268690550776,-0.019926184125509724,0.04793650277999803,0.05688072062368274,0.0792628624408131,-0.04990836571166747,0.009651650861522483,0.017396585162712377,0.07816970352981889
2010,Respiratory distress,0.19610032578261047,-0.01270910166506545,0.18339122411754502,0.1772657315053429,0.21567011852799414,-0.049879896001732496,0.026010703807552837,0.14071274023187103,0.23071601948060463
2010,Hemorrhage,0.14178610813631295,-0.0571888660043509,0.08459724213196206,0.12581427626696592,0.15775292450789352,-0.09289699646988785,-0.022592137473645052,0.05030503548305466,0.12147144144165233
2010,Necrotizing enterocolitis,0.1436123870683384,0.04050608714024228,0.18411847420858068,0.12766439756907033,0.15981202190000646,0.005211119890118195,0.07828777340331636,0.14270711251728696,0.23097822679725052
2010,Congenital malformations,0.4851886210801543,-0.1095547600253681,0.37563386105478624,0.45853546939936213,0.5121056845806341,-0.21465396483022664,-0.009771940961657018,0.26299294924494643,0.48040880250373746
2010,SIDS (R95),0.055225272628623694,0.4203373469558257,0.4755626195844494,0.04390051719871014,0.06593629857273213,0.3384749259323496,0.5072101852310558,0.39454964669553877,0.5664365185272048
2010,Ill-defined/unspecified (R99),0.03758600776563489,0.20916876856383484,0.24675477632946974,0.028509293606208193,0.04652175613522102,0.1591090247001792,0.2661647037827436,0.19619242645930116,0.3051922702394238
2010,Unintentional injuries,0.00509946034380449,0.06916333045728831,0.0742627908010928,8.905233877195117e-4,0.009900388247304003,0.03142996518461105,0.10738509430185807,0.03734245488221602,0.11396466830803244
